Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
RPI-10_S5_R1	19.216897006934005	46.0	32.0	27.27272727272727	213626.0
RPI-10_S5_R2	20.13439230226244	39.0	71.39405783940157	9.090909090909092	213626.0
RPI-4_S3_R1	95.19899143586267	47.0	32.0	36.36363636363637	61840339.0
RPI-4_S3_R2	69.11373340619099	43.0	71.63199647078261	27.27272727272727	61840339.0
RPI-6_S1_R1	94.66369966443307	48.0	32.0	36.36363636363637	49229938.0
RPI-6_S1_R2	68.10873150077796	45.0	71.61916925428588	36.36363636363637	49229938.0
RPI-7_S2_R1	94.49792440912366	47.0	32.0	36.36363636363637	49683223.0
RPI-7_S2_R2	63.066088472309126	44.0	71.62537488761548	45.45454545454545	49683223.0
RPI-8_S4_R1	95.11913628725719	47.0	32.0	36.36363636363637	47860379.0
RPI-8_S4_R2	70.5365624289996	45.0	71.6301605133549	36.36363636363637	47860379.0
Undetermined_S0_R1	96.325387976321	38.0	32.0	45.45454545454545	83590963.0
Undetermined_S0_R2	87.61392230978997	42.0	71.59139496933419	36.36363636363637	83590963.0
